City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Jamestown,US,18.01,42.097,-79.2353,Hampton Inn & Suites Jamestown
2,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
3,Rikitea,PF,78.24,-23.1203,-134.9692,People ThankYou
6,Bredasdorp,ZA,70.29,-34.5322,20.0403,Bredasdorp Country Manor
7,Hofn,IS,33.82,64.2539,-15.2082,Hótel Höfn
8,Bengkulu,ID,75.99,-3.8004,102.2655,Grage Hotel Bengkulu
9,Hami,CN,27.93,42.8,93.45,Laoyutang Resort
10,Sitka,US,39.09,57.0531,-135.33,Westmark Sitka
13,Alexandria,EG,57.7,31.2156,29.9553,Royal Crown Hotel
14,Oktyabrskiy,RU,16.57,54.4815,53.471,Гостиница Октябрьская
15,Lasa,IT,36.34,46.6166,10.7002,Pension Feldgärtenhof
16,Mar Del Plata,AR,77.02,-38.0023,-57.5575,Gran Hotel Mar del Plata
17,Hermanus,ZA,70.81,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Hilo,US,66.25,19.7297,-155.09,Hilo Hawaiian Hotel
19,Hambantota,LK,75.54,6.1241,81.1185,Bungalow 63
22,Tuatapere,NZ,48.81,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
23,Saint Anthony,US,17.26,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
24,Mataura,NZ,48.47,-46.1927,168.8643,Ellie's Villa
25,Lagoa,PT,59.36,39.05,-27.9833,Casa Das Faias
26,Ginir,ET,63.36,7.1333,40.7,Sura Dare Village
27,Kapaa,US,73.18,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Ushuaia,AR,53.22,-54.8,-68.3,Albatross Hotel
30,Altus,US,64.51,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
31,Scarborough,GB,45.09,54.2797,-0.4044,The Grand Hotel Scarborough
33,Bluff,NZ,48.79,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
36,Arlit,NE,76.12,18.7369,7.3853,Case de Passage De la Prefecture
38,Den Helder,NL,48.02,52.9599,4.7593,Hotel Den Helder
39,Antigonish,CA,22.14,45.6169,-61.9986,Claymore Inn and Suites
42,Krasnyy Luch,UA,28.11,48.1395,38.9371,"КРАСНЫЙ ЛУЧ, ГОСТИНИЦА"
43,Mount Gambier,AU,51.71,-37.8333,140.7667,The Commodore
44,Torbay,CA,25.75,47.6666,-52.7314,Gallows Cove
45,Veraval,IN,68.16,20.9,70.3667,Lords Inn Somnath
46,Puerto Del Rosario,ES,65.95,28.5004,-13.8627,Hotel JM Puerto del Rosario
47,Shakawe,BW,72.73,-18.3667,21.85,Ditlhapi Guest House
50,Coihaique,CL,69.75,-45.5752,-72.0662,Diego De Almagro Coyhaique
51,Basoko,CD,79.07,1.2391,23.616,Jackyna Hotel
56,Loei,TH,65.44,17.4167,101.5,Ban Aloi Resort
58,Castro,BR,77.41,-24.7911,-50.0119,CHACARA BAILLY
59,Ponta Do Sol,PT,64.71,32.6667,-17.1,Hotel do Campo
60,Nikolskoye,RU,36.88,59.7035,30.7861,Tourist House - Sablino
61,Brownwood,US,69.8,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
62,Busselton,AU,67.05,-33.65,115.3333,Observatory Guest House
66,Waipawa,NZ,51.46,-41.4122,175.5153,Tora Coastal Walk
67,Lavumisa,SZ,72.27,-27.31,31.892,ROADSIDE B&B
68,New Norfolk,AU,60.66,-42.7826,147.0587,The Shingles Riverside Cottages
69,Punta Arenas,CL,53.71,-53.15,-70.9167,Hotel Hain
71,Sinnamary,GF,79.11,5.3833,-52.95,ALETHEIA Appartement Sinnamary
72,Batsfjord,NO,33.73,70.6345,29.7185,Adventure Apartements
74,Tasiilaq,GL,26.76,65.6145,-37.6368,The Red House
76,Porto Santo,PT,63.3,33.072,-16.3415,Hotel Porto Santo & Spa
77,Carutapera,BR,78.49,-1.195,-46.02,Lidera
79,Sur,OM,70.66,22.5667,59.5289,Sur Plaza Hotel
80,Longyearbyen,SJ,15.64,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
81,Jos,NG,72.54,9.9167,8.9,Silk Suites
82,Bandarbeyla,SO,75.83,9.4942,50.8122,JABIR HOTEL
83,Guerrero Negro,MX,78.6,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
85,Singkawang,ID,76.6,0.9,109.0,Capital O 1822 Wahana Inn
87,Yeppoon,AU,73.18,-23.1333,150.7333,Villa Mar Colina
88,Hobart,AU,61.02,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
89,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
90,Sistranda,NO,29.89,63.7256,8.834,Hotell Frøya
92,Cockburn Town,TC,78.31,21.4612,-71.1419,Osprey Beach Hotel
97,Sabha,LY,59.05,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
98,Vigrestad,NO,39.0,58.5667,5.7,Brusand Camping
100,Portland,US,48.9,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
101,Narsaq,GL,14.22,60.9167,-46.05,Sleep In Narsaq
102,Esperance,AU,64.24,-33.8667,121.9,Hospitality Esperance
103,Port Macquarie,AU,66.09,-31.4333,152.9167,Rydges Port Macquarie
104,Mugumu,TZ,61.34,-1.85,34.7,Lemala Mara
105,Tarbes,FR,44.26,43.25,0.1667,Quelle Vue (Gite Rural)
106,Quang Ngai,VN,70.41,15.1167,108.8,Central Hotel
107,Atuona,PF,78.91,-9.8,-139.0333,Villa Enata
109,Georgetown,MY,78.73,5.4112,100.3354,Cititel Penang
110,Salalah,OM,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
111,Manokwari,ID,76.87,-0.8667,134.0833,Swiss Belhotel Manokwari
113,Smoky Lake,CA,19.49,54.1169,-112.4686,Country Garden Hotel
114,Tandalti,SD,74.05,13.0167,31.8667,منزل : الهادي محمد مساعد
116,Luwuk,ID,76.87,-0.9516,122.7875,Hotel Santika Luwuk
118,Sorland,NO,33.66,67.667,12.6934,Sjybrygga fiskecamp
123,Cape Town,ZA,77.27,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
126,Camacha,PT,60.22,33.0833,-16.3333,Hotel Porto Santo & Spa
129,Severo-Kurilsk,RU,25.07,50.6789,156.125,Kak Doma
130,Kaitangata,NZ,50.32,-46.2817,169.8464,Kaitangata Motor Camp
131,Roma,US,16.66,43.2128,-75.4557,Wingate By Wyndham Rome
132,Labuhan,ID,76.73,-6.8844,112.2051,DoubleFAG
133,Sao Filipe,CV,73.69,14.8961,-24.4956,Hotel Xaguate
135,Bellegarde-Sur-Valserine,FR,42.91,46.1079,5.8242,Hôtel Pierre Blanche
136,Matsusaka,JP,44.49,34.5667,136.5333,Toyoko Inn Ise Matsusaka Station
137,Kabale,UG,62.38,-1.2486,29.9899,Kings Hotel Kabale
138,Hit,IQ,58.87,33.6416,42.8251,صالون زيرو
140,Hamilton,US,28.6,39.1834,-84.5333,Six Acres Bed & Breakfast
141,Olafsvik,IS,36.68,64.8945,-23.7142,Hotel Olafsvik
142,Broome,US,18.68,42.2506,-75.833,Chenango Valley State Park
143,Douglas,US,37.98,41.3,-96.167,Hilton Garden Inn Omaha West
144,Shelburne,CA,11.12,44.0787,-80.2041,The Retreat at the Farm
145,Gushikawa,JP,61.83,26.3544,127.8686,Kirari Guest House
146,Bilma,NE,73.9,18.6853,12.9164,Expeditions Ténére voyages
148,Chicama,PE,70.34,-7.8447,-79.1469,Balihai Bungalows
150,San Giovanni In Fiore,IT,43.23,39.2633,16.6996,Casa Federico B&B
151,Nanortalik,GL,15.01,60.1432,-45.2371,Hotel Kap Farvel
152,Lebu,CL,64.94,-37.6167,-73.65,Hostal Las Lilas
155,Naze,JP,55.36,28.3667,129.4833,Shishime Hotel
156,Seoul,KR,29.71,37.5683,126.9778,롯데호텔 서울
160,Fortuna,US,50.94,40.5982,-124.1573,Super 8 by Wyndham Fortuna
161,Garmsar,IR,47.8,35.2182,52.3409,آذین فوم
162,Umea,SE,17.91,63.8284,20.2597,ProfilHotels | Aveny
166,Bethel,US,24.1,41.3712,-73.414,Courtyard by Marriott Danbury
167,Vila Franca Do Campo,PT,64.2,37.7167,-25.4333,Pestana Bahia Praia
168,Viedma,AR,75.33,-40.8135,-62.9967,Hotel Cristal
172,Codrington,AU,55.62,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
173,Kodiak,US,36.91,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
176,Ribeira Grande,PT,63.0,38.5167,-28.7,Quinta da Meia Eira
177,Alice Springs,AU,72.95,-23.7,133.8833,Desert Palms Alice Springs
183,Port Lincoln,AU,63.79,-34.7333,135.8667,Port Lincoln Hotel
184,Kovdor,RU,18.05,67.5662,30.4758,Derevo Zhelaniy
185,Grindavik,IS,36.07,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
186,Ostersund,SE,19.85,63.1792,14.6357,Best Western Hotel Gamla Teatern
187,Vorukh,TJ,26.17,39.8494,70.5838,Ofis Molodozh Kalacha Siti
188,Smithers,CA,34.12,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
189,Ajaccio,FR,50.05,42.0,8.9167,Sole E Monte
190,Alofi,NU,73.29,-19.0595,-169.9187,Taloa Heights
191,Gold Coast,AU,69.01,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
192,Kanniyakumari,IN,77.86,8.0833,77.5667,Sparsa
193,Tura,IN,56.98,25.5198,90.2201,Hotel RIKMAN Continental
194,Shingu,JP,40.91,33.7333,135.9833,Shingu UI Hotel
195,Odweyne,SO,65.91,9.4092,45.064,Eng Hiirey House
196,Nishihara,JP,61.88,26.1842,127.7558,Minshuku Agaihama
197,Nemuro,JP,23.18,43.3236,145.575,Hotel Nemuro Kaiyoutei
198,Mwanza,TZ,69.49,-2.5167,32.9,Gold Crest Hotel
199,Mchinji,MW,63.97,-13.7984,32.8802,Kayesa Inn
200,Lakes Entrance,AU,63.16,-37.8811,147.981,The Esplanade Resort & Spa
201,Victoria,HK,62.65,22.2855,114.1577,Mini Hotel Central
203,Turmalina,BR,78.89,-17.2856,-42.73,Hotel Cristal
204,Geraldton,AU,79.21,-28.7667,114.6,Broadwater Mariner Resort
205,Christchurch,NZ,56.95,-43.5333,172.6333,The George
206,Ahipara,NZ,59.9,-35.1667,173.1667,Ahipara Holiday Park
208,Port Alfred,ZA,70.23,-33.5906,26.891,The Halyards Hotel
209,Karpogory,RU,27.25,64.0019,44.4451,Hotel Pinezhskaya Sloboda
212,Khani,GE,36.97,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
216,San Ignacio,BZ,77.14,17.1561,-89.0714,Rainforest Haven Inn
217,Pare,ID,73.38,-7.7679,112.198,OYO 3012 Coupis Guesthouse
218,Palmer,US,22.64,42.1584,-72.3287,Wedgewood Motel
219,Ponta Delgada,PT,61.52,37.7333,-25.6667,Vila Nova Hotel
220,Kruisfontein,ZA,66.78,-34.0033,24.7314,Oyster Bay House Rental
222,Loja,EC,69.21,-3.9931,-79.2042,Hotel Libertador
223,Manzil Salim,TN,57.2,35.8567,8.4765,mohamed ben khlil omri
225,Calabaca,PH,73.85,14.3001,122.4336,Selfie Beach Resort
226,Shache,CN,28.71,38.4167,77.2406,Delong Hotel
227,Alugan,PH,77.02,12.2188,125.4808,JM Lodge
228,Svetlogorsk,BY,28.8,52.6333,29.7333,Hotel Svetlogorsk JBIK
229,Phalaborwa,ZA,79.88,-23.943,31.1411,Bothabelo Bed and Breakfast
230,San Cristobal,VE,77.18,7.7669,-72.225,Pirineos
232,Mehamn,NO,33.71,71.0357,27.8492,Mehamn Arctic Hotel AS
233,Tikaitnagar,IN,55.42,26.95,81.5833,gaurav ka ghar
235,Providence,US,24.85,41.824,-71.4128,Graduate Providence
237,Kashiwazaki,JP,24.89,37.3667,138.55,Hotel Sunshine
240,Zapolyarnyy,RU,27.68,69.4154,30.8136,Pechenga
242,Dubbo,AU,64.53,-32.25,148.6167,Quality Inn Dubbo International
243,Metlaltoyuca,MX,62.33,20.7333,-97.85,"Hotel ""Doña Yuya"""
244,Erzin,TR,50.72,36.9559,36.2,Artemis Otel
245,Phayao,TH,67.5,19.25,100.25,chuthagarden
246,Serenje,ZM,61.74,-13.2325,30.2352,The Kabaso's
248,Fairmont,US,25.38,39.4851,-80.1426,Clarion Inn
249,Ancud,CL,76.23,-41.8697,-73.8203,Hotel Arena Gruesa
250,Bud,US,29.68,39.447,-86.1758,Ted McQuinn Trust
251,East London,ZA,68.94,-33.0153,27.9116,Tu Casa
252,Axim,GH,78.42,4.8699,-2.2405,Axim Beach Resort And Spa
255,Eureka,US,51.21,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
256,Ziro,IN,33.66,27.6333,93.8333,Ka-ngam homestay
258,Fenyi,CN,40.53,27.8112,114.6681,Jinhao Hotel
261,Wewak,PG,77.07,-3.5534,143.6268,In Wewak Boutique Hotel
262,Jinchang,CN,23.31,38.4953,102.1739,Mingshihui Jinchang International Hotel
263,Jiayuguan,CN,25.43,39.8167,98.3,Jiugang Hotel - Jiayuguan
264,Saint George,US,68.34,37.1041,-113.5841,Best Western Plus Abbey Inn
265,West Bay,KY,77.07,19.3667,-81.4167,Calypso Cove
267,Ipixuna,BR,76.95,-1.7625,-48.8043,Casa da Oscarina
268,Nardaran,AZ,44.24,40.5561,50.0056,Bizim Baki Baglari
269,Marietta,US,54.14,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
270,Port Blair,IN,75.24,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
273,Constantine,DZ,49.41,36.365,6.6147,Grand Hotel Cirta
274,Penzance,GB,47.41,50.1186,-5.5371,Artist Residence Penzance
276,Kattivakkam,IN,79.07,13.2167,80.3167,Euronova Freezer
277,Tikapur,NP,58.03,28.5,81.1333,BANANA AGRO RESORT
280,Katsuura,JP,37.51,35.1333,140.3,Katsuura Hotel Mikazuki
281,Mitchell,US,21.74,43.7094,-98.0298,Kelly Inn & Suites
282,Kinsale,IE,45.77,51.7075,-8.5306,Actons Hotel Kinsale
284,Kargopol,RU,31.33,61.5071,38.9456,Moroshka Inn
285,Amahai,ID,77.04,-3.3333,128.9167,HOTEL ISABELA
286,Tezu,IN,55.85,27.9167,96.1667,Circuit House
287,Isangel,VU,75.31,-19.55,169.2667,Tanna Lodge
289,Kirkenaer,NO,33.28,60.4564,12.0582,Skaslien Gjestgiveri
293,Gampengrejo,ID,74.48,-7.7667,112.0167,Lotus Garden Hotel
294,Asau,RO,30.76,46.4333,26.4,Casa Mika Ciobanus
295,Perpignan,FR,48.99,42.75,2.75,Le moulin a huile de l'agly
298,Phalodi,IN,68.88,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
299,Campos Altos,BR,76.53,-19.6961,-46.1714,Hotel São José
302,Kamaishi,JP,32.79,39.2667,141.8833,Hotel Route Inn Kamaishi
303,Sayyan,YE,54.45,15.1718,44.3244,ملاطف ابوحورية
304,San Lorenzo De El Escorial,ES,43.88,40.5914,-4.1474,Hotel Florida
305,Lorengau,PG,79.61,-2.0226,147.2712,Lorengau Harbourside Hotel
306,Qaqortoq,GL,14.5,60.7167,-46.0333,Siniffik Inn
307,Luganville,VU,79.88,-15.5333,167.1667,The Espiritu Hotel
310,Cocoa,US,63.43,28.3861,-80.742,Americas Best Value Inn Cocoa Port Canaveral
311,Farafangana,MG,76.78,-22.8167,47.8333,Miarina
313,Veshenskaya,RU,13.32,49.6303,41.7334,Kazachiy Kuren'. Muzey Sholokhova
314,Mizdah,LY,56.21,31.4451,12.9801,محمدالمبروك الاريقط
315,Panzhihua,CN,47.17,26.5851,101.7128,Electric Power Hotel
316,Hasaki,JP,28.8,35.7333,140.8333,Inubosaki Kanko Hotel
317,Sisophon,KH,74.97,13.5859,102.9737,Pyramid Hotel
319,Broken Hill,AU,78.51,-31.95,141.4333,Royal Exchange Hotel
321,Biak,ID,75.58,-0.9131,122.8766,Penginapan Kim
322,Dingle,PH,73.45,10.9995,122.6711,SEGAYA PROPERTY
323,Iquique,CL,72.19,-20.2208,-70.1431,Backpacker`s Hostel Iquique
325,Padang,ID,76.8,-0.9492,100.3543,Mercure Padang
327,Chamba,IN,50.99,32.5667,76.1333,NotOnMap - Rafi's House
328,Yulara,AU,73.24,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
330,Nanlong,CN,48.0,31.3533,106.0631,Demei Hotel
331,Hope,US,67.98,33.6671,-93.5916,Best Western Hope
332,Lata,PT,53.82,40.1629,-8.3327,Casa Maquia
333,Dubasari,MD,39.29,47.2631,29.1608,Днестровский Сад
334,Jumla,NP,29.05,29.2747,82.1838,Royal Garden Hotel
335,Hervey Bay,AU,69.91,-25.2986,152.8535,Shelly Bay Resort
338,Gull Lake,CA,21.56,50.1001,-108.4847,Campbell's Accommodations
339,Bonavista,CA,23.11,48.6499,-53.1147,Sweet Sharons bnb
342,Kirkwall,GB,39.25,58.9848,-2.9587,Kirkwall Hotel
343,Moindou,NC,76.95,-21.6924,165.677,Equi-lodge de Moindou
349,Tongren,CN,45.68,27.7172,109.1853,Fanjing Mountain International Conference Center
351,Sijunjung,ID,72.03,-0.6876,100.9537,Hotel Bukik Gadang
